allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,by nature,,14%,72/100g,6%,25%,8%,47%,wet,,2.5%,1.0%,4.5%,1.5%,82.0%,8.5%,"Duck,Duck Broth,Vegetable Broth,Turkey Liver,Egg,Natural Flavor,Pea Flour,Sweet Potato,Potato Starch,Flaxseed,Carrots,Guar Gum,Squash,Spinach,Sodium Tripolyphosphate,Salt,Alfalfa Meal,Cranberries,Potassium Chloride,Thyme,Rosemary,Taurine,Calcium Carbonate,Choline Chloride,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[3],Duck Stew,[4],,
,by nature,,12%,83/100g,0%,32%,8%,48%,wet,,2.3%,0.0%,6.0%,1.5%,82.0%,9.0%,"Chicken,Chicken Broth,Fish Broth,Chicken Liver,Egg,Natural Flavor,Pea Flour,Salmon,Salmon Oil,Guar Gum,Carrots,Dicalcium Phosphate,Sodium Tripolyphosphate,Alfalfa Meal,Salt,Spinach,Calcium Carbonate,Potassium Chloride,Taurine,Cranberries,Magnesium Proteinate,Choline Chloride,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[3],Chicken Stew,[4],,
,by nature,,10%,104/100g,3%,36%,7%,43%,wet,,2.3%,0.8%,8.0%,1.5%,78.0%,9.5%,"Chicken,Chicken Liver,Chicken Broth,Pea Flour,Dicalcium Phosphate,Sun-Cured Alfalfa,Carrots,Salt,Spinach,Cranberries,Flaxseed,Guar Gum,Potassium Chloride,Choline Chloride,Carrageenan,Taurine,Calcium Carbonate,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate (Vitamin B5),Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin (Vitamin B7),Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid (Vitamin B9)",[2],Chicken Olio,[4],,
,by nature,,10%,71/100g,24%,7%,7%,52%,wet,,2.3%,5.3%,1.5%,1.5%,78.0%,11.5%,"Chicken,Chicken Liver,Chicken Broth,Pea Flour,Natural Flavors,Salmon Oil,Dicalcium Phosphate,Carrots,Sun-Cured Alfalfa,Spinach,Cranberries,Flaxseed,Guar Gum,Salt,Potassium Chloride,Choline Chloride,Carrageenan,Taurine,Calcium Carbonate,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement,Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[2],Chicken Medley for Kittens,[3],,
,by nature,,0%,102/100g,25%,27%,7%,41%,wet,,0.0%,5.5%,6.0%,1.5%,78.0%,9.0%,"Organic Chicken,Organic Chicken Livers,Water,Mackerel,Organic Pea Flour,Organic Guar Gum,Organic Locust Bean Gum,Dicalcium Phosphate,Potassium Chloride,Taurine,Salt,Calcium Carbonate,Choline Chloride,Vitamin E Supplement,Zinc Proteinate (Chelated Source of Zinc),Copper Proteinate (Chelated Source of Copper),Manganese Proteinate (Chelated Source of Manganese),Sodium Selenite,d-Calcium Pantothenate,Vitamin A Acetate,Riboflavin Supplement,Ethylenediamine Dihydriodide,Vitamin B-12 Supplement,Biotin,Vitamin D-3 Supplement,Pyridoxine Hydrochloride,Thiamine Mononitrate,Folic Acid,Menadione Dimethylpyrimidinol Bisulfite",[3],Chicken & Mackerel,[3],,
,by nature,,14%,91/100g,7%,27%,7%,45%,wet,,3.0%,1.5%,6.0%,1.5%,78.0%,10.0%,"Turkey,Turkey Broth,Turkey Liver,Sun-Cured Alfalfa Meal,Flaxseed,Salt,Potassium Chloride,Calcium Carbonate,Choline Chloride,Carrageenan,Guar Gum,Taurine,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[3],95% Turkey & Turkey Liver,[4],,
,by nature,,10%,102/100g,4%,34%,7%,45%,wet,,2.2%,0.8%,7.5%,1.5%,78.0%,10.0%,"Tuna,Fish Broth,Chicken,Chicken Liver,Dicalcium Phosphate,Sun-Cured Alfalfa,Flaxseed,Salt,Choline Chloride,Guar Gum,Tricalcium Phosphate,Carrageenan,Potassium Chloride,Taurine,Calcium Carbonate,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[3],95% Tuna & Chicken,[4],,
,by nature,,14%,91/100g,7%,27%,7%,45%,wet,,3.0%,1.5%,6.0%,1.5%,78.0%,10.0%,"Salmon,Mackerel,Sardines,Fish Broth,Chicken Liver,Sun-Cured Alfalfa Meal,Flaxseed,Calcium Carbonate,Salt,Carrageenan,Guar Gum,Potassium Chloride,Taurine,Tricalcium Phosphate,Iron Proteinate,Zinc Proteinate,Magnesium Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Menadione Sodium Bisulfite Complex,Vitamin D2 Supplement,Folic Acid",[3],"95% Salmon, Mackerel & Sardines",[4],,
,by nature,,11%,112/100g,0%,40%,7%,44%,wet,,2.5%,0.0%,9.0%,1.5%,78.0%,10.0%,"Salmon,Fish Broth,Dicalcium Phosphate,Alfalfa Meal,Flaxseed,Salt,Potassium Chloride,Choline Chloride,Guar Gum,Carrageenan,Taurine,Magnesium Proteinate,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Menadione Sodium Bisulfite Complex,Folic Acid",[2],95% Salmon,[4],,
,by nature,,14%,91/100g,7%,27%,7%,45%,wet,,3.0%,1.5%,6.0%,1.5%,78.0%,10.0%,"Ocean Fish,Fish Broth,Chicken Liver,Sun-Cured Alfalfa,Flaxseed,Calcium Carbonate,Salt,Carrageenan,Guar Gum,Potassium Chloride,Taurine,Tricalcium Phosphate,Iron Proteinate,Zinc Proteinate,Magnesium Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Menadione Sodium Bisulfite Complex,Vitamin D2 Supplement,Folic Acid",[2],95% Oceanfish,[3],,
,by nature,,14%,91/100g,7%,27%,7%,45%,wet,,3.0%,1.5%,6.0%,1.5%,78.0%,10.0%,"Chicken,Chicken Liver,Chicken Broth,Calcium Carbonate,Sun-Cured Alfalfa Meal,Flax Seed,Salt,Tricalcium Phosphate,Potassium Chloride,Carrageenan,Guar Gum,Choline Chloride,Taurine,Iron Proteinate,Zinc Proteinate,Magnesium Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[3],95% Chicken & Chicken Liver,[4],,
,by nature,,14%,91/100g,7%,27%,7%,45%,wet,,3.0%,1.5%,6.0%,1.5%,78.0%,10.0%,"Beef,Beef Liver,Beef Broth,Dicalcium Phosphate,Sun-Cured Alfalfa meal,Flaxseed,Salt,Carrageenan,Guar Gum,Choline Chloride,Taurine,Potassium Chloride,Iron Proteinate,Zinc Proteinate,Manganese Proteinate,Copper Proteinate,Sodium Selenite,Calcium Iodate,Thiamine Mononitrate (Vitamin B1),Niacin Supplement (Vitamin B3),Vitamin E Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride (Vitamin B6),Riboflavin Supplement (Vitamin B2),Biotin,Vitamin B12 Supplement,Vitamin D2 Supplement,Folic Acid",[3],95% Beef & Liver,[4],,
,canada fresh,,5%,113/100g,9%,39%,5%,43%,wet,,1.0%,2.0%,8.5%,1.0%,78.0%,9.5%,"Beef,beef liver,beef broth,lamb,tri-calcium phosphate,agar-agar,potassium chloride,salmon oil,choline chloride,salt,taurine,L-ascorbyl-2-polyphosphate (source of vitamin C),zinc proteinate,vitamin E supplement,ferrous sulfate,iron proteinate,zinc sulfate,niacin supplement,thiamine mononitrate,copper proteinate,vitamin A supplement,selenium yeast,manganese sulfate,manganese proteinate,d-calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin D3 supplement,vitamin B12,calcium iodate,folic acid",[5],Red Meat Formula,[4],,
,canada fresh,,5%,113/100g,9%,39%,5%,43%,wet,,1.0%,2.0%,8.5%,1.0%,78.0%,9.5%,"Lamb,lamb broth,peas,tri-calcium phosphate,agar-agar,calcium carbonate,salmon oil,choline chloride,potassium chloride,salt,taurine,L-ascorbyl-2-polyphosphate (source of vitamin C),zinc proteinate,vitamin E supplement,ferrous sulfate,iron proteinate,zinc sulfate,niacin supplement,thiamine mononitrate,copper proteinate,vitamin A supplement,selenium yeast,manganese sulfate,manganese proteinate,d-calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin D3 supplement,vitamin B12,calcium iodate,folic acid",[4],Lamb Formula,[4],,
,canada fresh,,5%,108/100g,20%,34%,5%,36%,wet,,1.0%,4.5%,7.5%,1.0%,78.0%,8.0%,"Duck,Duck Broth,peas,calcium carbonate,agar-agar,tri-calcium phosphate,salmon oil,choline chloride,salt,taurine,L-ascorbyl-2-polyphosphate (source of vitamin C),zinc proteinate,vitamin E supplement,ferrous sulfate,iron proteinate,zinc sulfate,niacin supplement,thiamine mononitrate,copper proteinate,vitamin A supplement,selenium yeast,manganese sulfate,manganese proteinate,d-calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin D3 supplement,vitamin B12,calcium iodate,folic acid",[4],Duck Formula,[3],,
,canada fresh,,5%,108/100g,16%,34%,5%,41%,wet,,1.0%,3.5%,7.5%,1.0%,78.0%,9.0%,"Chicken,chicken broth,peas,tri-calcium phosphate,agar-agar,calcium carbonate,salmon oil,choline chloride,salt,taurine,L-ascorbyl-2-polyphosphate (source of vitamin C),zinc proteinate,vitamin E supplement,ferrous sulfate,iron proteinate,zinc sulfate,niacin supplement,thiamine mononitrate,copper proteinate,vitamin A supplement,selenium yeast,manganese sulfate,manganese proteinate,d-calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin D3 supplement,vitamin B12,calcium iodate,folic acid",[4],Chicken Formula,[3],,
,canada fresh,,5%,113/100g,9%,39%,5%,43%,wet,,1.0%,2.0%,8.5%,1.0%,78.0%,9.5%,"Beef,beef broth,peas,tri-calcium phosphate,agar-agar,calcium carbonate,potassium chloride,salmon oil,choline chloride,salt,taurine,L-ascorbyl-2-polyphosphate (source of vitamin C),zinc proteinate,vitamin E supplement,ferrous sulfate,iron proteinate,zinc sulfate,niacin supplement,thiamine mononitrate,copper proteinate,vitamin A supplement,selenium yeast,manganese sulfate,manganese proteinate,d-calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin D3 supplement,vitamin B12,calcium iodate,folic acid",[4],Beef Formula,[4],,
,canadian naturals,,0%,393/100g,43%,20%,4%,33%,dry,,0.0%,38.5%,18.0%,3.5%,10.0%,30.0%,"Chicken meal,oatmeal,peas,chicken fat ( stabilized with mixed tocopherols,a natural source of vitamin E),brown rice,fish meal,natural flavour,flaxseed,phosphoric acid,potassium chloride,fruits and vegetables (cranberry,pumpkin,apple,blueberry,carrot,spinach,tomato,sweet potato,broccoli,banana ),sodium chloride,minerals (zinc sulfate,ferrous sulfate,copper sulfate,manganous oxide,calcium iodate,sodium selenite),vitamins (vitamin A,vitamin D3,vitamin E,niacin,calcium pantothenate,thiamine,pyridoxine,riboflavin,vitamin K,folic acid,biotin,vitamin B12),chicory root„ rosemary extract,DL methionine,choline chloride,taurine,yucca schidigera extract",[2],Chicken & Brown Rice,[1],,
,canidae,,0%,355/100g,49%,11%,4%,35%,dry,,0.0%,45.0%,10.0%,4.0%,9.0%,32.0%,"Chicken,chicken meal,turkey meal,peas,potatoes,sweet potatoes,suncured alfalfa,chicken fat (preserved with mixed tocopherols),natural flavor,minerals (zinc proteinate,manganese proteinate,copper proteinate,zinc sulfate,manganese sulfate,copper sulfate,potassium iodide,manganous oxide,sodium selenite),vitamins (vitamin E supplement,niacin,thiamine mononitrate,vitamin A supplement,biotin,calcium pantothenate,riboflavin,pyridoxine hydrochloride (vitamin B6),vitamin B12 supplement,vitamin D3 supplement,folic acid),choline chloride,DL-methionine,taurine,dried enterococcus faecium fermentation product,dried lactobacillus acidophilus fermentation product,dried lactobacillus casei fermentation product,dried lactobacillus plantarum fermentation product,dried trichoderma longibrachiatum fermentation extract,mixed tocopherols (a source of vitamin E)",[5],Grain Free PURE Resolve Weight Management Cat Formula Made with Fresh Chicken,[2],,
,canidae,,0%,90/100g,10%,33%,4%,53%,wet,,0.0%,1.8%,6.0%,0.8%,82.0%,9.5%,"Turkey,turkey broth,vegetable broth,turkey liver,dried egg whites,natural flavor,salmon oil,rabbit,guar gum,carrageenan,parsley,salt,suncured alfalfa meal,cranberries,potassium chloride,taurine,choline chloride,minerals (zinc proteinate,manganese proteinate,copper proteinate,magnesium proteinate,sodium selenite,calcium iodate),vitamins (thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin A supplement,vitamin B12 supplement,vitamin D2 supplement,folic acid)",[3],Grain Free PURE Recipes Adult Cat Wet Food Turkey & Rabbit Recipe,[4],,
,canidae,,0%,102/100g,31%,25%,3%,41%,wet,,0.0%,6.8%,5.5%,0.8%,78.0%,9.0%,"Trout,fish broth,vegetable broth,dried egg whites,salmon oil,lobster,natural flavor,calcium carbonate,guar gum,carrageenan,parsley,potassium chloride,suncured alfalfa meal,cranberries,salt,chicken fat (preserved with mixed tocopherols),taurine,choline chloride,minerals (zinc proteinate,manganese proteinate,copper proteinate,magnesium proteinate,sodium selenite,calcium iodate),vitamins (thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin A supplement,vitamin B12 supplement,vitamin D2 supplement,folic acid)",[2],Grain Free PURE Recipes Adult Cat Wet Food Trout & Lobster Recipe,[2],,
,canidae,,0%,85/100g,18%,28%,4%,50%,wet,,0.0%,3.3%,5.0%,0.8%,82.0%,9.0%,"Herring,fish broth,vegetable broth,chicken liver,dried egg whites,chicken fat (preserved with mixed tocopherols),shrimp,mackerel,natural flavors,salmon oil,guar gum,dicalcium phosphate,carrageenan,tricalcium phosphate,potassium chloride,parsley,suncured alfalfa meal,cranberries,salt,calcium carbonate,taurine,choline chloride,minerals (zinc proteinate,manganese proteinate,copper proteinate,magnesium proteinate,sodium selenite,calcium iodate),vitamins (thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin A supplement,vitamin B12 supplement,vitamin D2 supplement,folic acid)",[3],Grain Free PURE Recipes Adult Cat Wet Food Seafood Recipe,[3],,
,canidae,,0%,95/100g,10%,39%,4%,47%,wet,,0.0%,1.8%,7.0%,0.8%,82.0%,8.5%,"Salmon,fish broth,vegetable broth,chicken liver,chicken fat (preserved with mixed tocopherols),dried egg whites,natural flavor,guar gum,dicalcium phosphate,calcium carbonate,carrageenan,parsley,suncured alfalfa meal,cranberries,salt,potassium chloride,tricalcium phosphate,taurine,choline chloride,minerals (zinc proteinate,manganese proteinate,copper proteinate,magnesium proteinate,sodium selenite,calcium iodate),vitamins (thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin A supplement,vitamin B12 supplement,vitamin D2 supplement,folic acid)",[3],Grain Free PURE Recipes Adult Cat Wet Food Salmon Recipe,[4],,
,canidae,,0%,83/100g,21%,25%,4%,50%,wet,,0.0%,3.8%,4.5%,0.8%,82.0%,9.0%,"Duck,duck broth,vegetable broth,duck liver,dried egg whites,chicken fat (preserved with mixed tocopherols),natural flavor,guar gum,salmon oil,carrageenan,parsley,salt,suncured alfalfa meal,cranberries,taurine,potassium chloride,choline chloride,minerals (zinc proteinate,manganese proteinate,copper proteinate,magnesium proteinate,sodium selenite,calcium iodate),vitamins (thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin A supplement,vitamin B12 supplement,vitamin D2 supplement,folic acid)",[3],Grain Free PURE Recipes Adult Cat Wet Food Duck & Duck Liver Recipe,[3],,
,canidae,,0%,119/100g,13%,41%,3%,43%,wet,,0.0%,2.8%,9.0%,0.8%,78.0%,9.5%,"Chicken,chicken broth,chicken liver,natural flavor,potassium chloride,guar gum,parsley,carrageenan,salt,choline chloride,cranberries,calcium carbonate,taurine,tricalcium phosphate,minerals (zinc proteinate,manganese proteinate,copper proteinate,magnesium proteinate,sodium selenite,calcium iodate),vitamins (thiamine mononitrate,niacin supplement,vitamin E supplement,calcium pantothenate,pyridoxine hydrochloride,riboflavin supplement,biotin,vitamin A supplement,vitamin B12 supplement,vitamin D2 supplement,folic acid)",[3],Grain Free PURE Recipes Adult Cat Wet Food Chicken Recipe,[4],,
,canidae,,0%,121/100g,9%,43%,5%,43%,wet,,0.0%,2.0%,9.5%,1.0%,78.0%,9.5%,"Chicken,chicken meal,turkey meal,peas,suncured alfalfa,chicken fat,dried whole egg,natural flavor,minerals (zinc proteinate,manganese proteinate,copper proteinate,zinc sulfate,manganese sulfate,copper sulfate,potassium iodide,manganous oxide,sodium selenite),vitamins (vitamin E supplement,niacin,thiamine mononitrate,vitamin A supplement,biotin,calcium pantothenate,riboflavin,pyridoxine hydrochloride (vitamin B6),vitamin B12 supplement,vitamin D3 supplement,folic acid),choline chloride,DL-methionine,taurine,dried enterococcus faecium fermentation product,dried lactobacillus acidophilus fermentation product,dried lactobacillus casei fermentation product,dried lactobacillus plantarum fermentation product,dried trichoderma longibrachiatum fermentation extract,mixed tocopherols (a source of vitamin E)",[5],"Grain Free PURE Elements Adult Wet Food Chicken, Turkey & Lamb Formula",[4],,
,canidae,,9%,102/100g,10%,32%,5%,45%,wet,,1.9%,2.1%,7.0%,1.0%,78.0%,10.0%,"Chicken,Turkey,Chicken Broth,Chicken Liver,Lamb,Ocean Whitefish,Ground Brown Rice,Eggs,Suncured Alfalfa Meal,Guar Gum,Sunflower Oil (source of Omega-6 Fatty Acids),Dicalcium Phosphate,Potassium Chloride,Flaxseed Oil (source of Omega-3 Fatty Acids),Choline Chloride,Salt,Cranberries,Kelp,Rosemary Extract,Carrageenan,Yucca Schidigera Extract,Taurine,Lecithin,Vitamins (Ascorbic Acid (source of Vitamin C),Vitamin E Supplement,Vitamin B12 Supplement,Vitamin A Supplement,d-Calcium Pantothenate,Niacin,Vitamin D3 Supplement,Riboflavin Supplement,Folic Acid,Pyridoxine Hydrochloride,Biotin,Thiamine Mononitrate),Minerals (Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Manganese Amino Acid Chelate,Copper Amino Acid Chelate,Sodium Selenite, Calcium Iodate)",[4],"All Life Stages Wet Food Made with Chicken, Lamb & Fish",[4],,
